inn;case_id;side_address;side_inn;side_ogrn;side_name;side_category;side_type;side_id;side_legalstatus;side_shortname;side_opponenttype;effective_date;expiration_date
7700000002;case-02;Адрес 1;7700000002;ОГРН 2;Полное имя компании 1;;1;;попадает;Сокращенное имя компании 1;;2020-02-10;2999-12-31
7700000009;case-09;Адрес 2;7708683999;ОГРН 94;Публичное акционерное общество ВТБ;;0;;попадает;ПАО ВТБ;;2020-01-03;2999-12-31
7700000009;case-09;Адрес 3;7700000009;ОГРН 99;Полное имя компании 3;;1;;не попадает;Сокращенное имя компании 2;;2020-01-03;2999-12-31
7700000013;case-13;Адрес 4;7700000013;ОГРН 13;Полное имя компании 4;;0;;попадает;Сокращенное имя компании 3;;2019-08-08;2999-12-31
7700000014;case-14;Адрес 5;7700000014;ОГРН 14;Полное имя компании 5;;1;;не попадает;Сокращенное имя компании 4;;2020-03-03;2999-12-31
7700000014;case-14;Адрес 6;77111111111;ОГРН 44;Полное имя компании 6;;0;;не попадает;Сокращенное имя компании 4;;2020-03-03;2999-12-31
7700000016;case-16;Адрес 7;7708683999;ОГРН 94;Публичное акционерное общество ВТБ;;0;;попадает;ПАО ВТБ;;2019-11-11;2999-12-31
7700000017;case-17;Адрес 8;7711288344;ОГРН 77;Полное имя компании 7;;0;;не попадает;Сокращенное имя компании 6;;2019-08-07;2999-12-31
7700000017;case-17;Адрес 9;7700000017;ОГРН 17;Полное имя компании 8;;1;;не попадает;Сокращенное имя компании 7;;2019-08-07;2999-12-31
7700000002;case-02;Адрес 10;7722222222;ОГРН 22;Полное имя компании 9;;2;;не попадает;Сокращенное имя компании 8;;2020-04-05;2999-12-31
7700000009;case-09;Адрес 11;7733333333;ОГРН 99;Полное имя компании 10;;2;;не попадает;Сокращенное имя компании 9;;2020-03-03;2999-12-31
