actual_date_dt;client_id;bancruptcy_debtor_ogrn;bankrupt_stage_id;start_date;end_date;document_id;document_date;document_content_type;inn;case_id;sysdate_dttm
2020-11-24;slx-6;ОГРН 6;1;2019-07-01;2020-01-10;dcm-16;2019-07-01;попадает;7700000006;case-06;2020-11-24
2020-11-24;slx-6;ОГРН 6;2;2020-01-10;2020-09-01;dcm-17;2020-01-10;попадает;7700000006;case-06;2020-11-24
2020-11-24;slx-6;ОГРН 6;4;2020-09-01;;dcm-18;2020-09-01;Попадает в выборку 6;7700000006;case-06;2020-11-24
2020-11-24;slx-6;ОГРН 6;12;2019-06-01;2019-07-01;dcm-15;2019-06-01;попадает;7700000006;case-06;2020-11-24
2020-11-24;slx-6;ОГРН 6;6;2019-06-20;2019-06-01;dcm-14;2019-06-20;попадает;7700000006;case-06;2020-11-24
2020-11-24;slx-2;ОГРН 2;6;2020-02-10;;dcm-04;2020-02-10;Попадает в выборку 2;7700000002;case-02;2020-11-24
2020-11-24;slx-10;ОГРН 10;6;2019-03-01;2019-03-10;dcm-29;2019-03-01;попадает;7700000010;case-10;2020-11-24
2020-11-24;slx-10;ОГРН 10;1;2019-03-15;2019-08-30;dcm-31;2019-03-15;попадает;7700000010;case-10;2020-11-24
2020-11-24;slx-10;ОГРН 10;10;2020-01-02;;dcm-33;2020-01-02;Попадает в выборку 10;7700000010;case-10;2020-11-24
2020-11-24;slx-10;ОГРН 10;12;2019-03-10;2019-03-15;dcm-30;2019-03-10;попадает;7700000010;case-10;2020-11-24
2020-11-24;slx-10;ОГРН 10;4;2019-08-30;2020-01-02;dcm-32;2019-08-30;попадает;7700000010;case-10;2020-11-24
2020-11-24;slx-5;ОГРН 5;1;2019-11-15;2020-05-08;dcm-12;2019-11-15;попадает;7700000005;case-05;2020-11-24
2020-11-24;slx-5;ОГРН 5;6;2019-10-01;2019-10-15;dcm-10;2019-10-01;попадает;7700000005;case-05;2020-11-24
2020-11-24;slx-5;ОГРН 5;12;2019-10-15;2019-11-15;dcm-11;2019-10-15;попадает;7700000005;case-05;2020-11-24
2020-11-24;slx-5;ОГРН 5;3;2020-05-08;;dcm-13;2020-05-08;Попадает в выборку 5;7700000005;case-05;2020-11-24
2020-11-24;slx-9;ОГРН 9;6;2020-01-03;;dcm-28;2020-01-03;Попадает в выборку 9;7700000009;case-09;2020-11-24
2020-11-24;slx-8;ОГРН 8;3;2020-04-05;;dcm-27;2020-04-05;Попадает в выборку 8;7700000008;case-08;2020-11-24
2020-11-24;slx-8;ОГРН 8;6;2019-02-19;2019-06-01;dcm-23;2019-02-19;попадает;7700000008;case-08;2020-11-24
2020-11-24;slx-8;ОГРН 8;2;2019-10-11;2020-04-05;dcm-26;2019-10-11;попадает;7700000008;case-08;2020-11-24
2020-11-24;slx-8;ОГРН 8;1;2019-06-07;2019-10-11;dcm-25;2019-06-07;попадает;7700000008;case-08;2020-11-24
2020-11-24;slx-8;ОГРН 8;12;2019-06-01;2019-06-07;dcm-24;2019-06-01;попадает;7700000008;case-08;2020-11-24
2020-11-24;slx-3;ОГРН 3;12;2019-12-05;2019-12-15;dcm-06;2019-12-05;попадает;7700000003;case-03;2020-11-24
2020-11-24;slx-3;ОГРН 3;4;2020-07-08;;dcm-08;2020-07-08;Попадает в выборку 3;7700000003;case-03;2020-11-24
2020-11-24;slx-3;ОГРН 3;1;2019-12-15;2020-07-08;dcm-07;2019-12-15;попадает;7700000003;case-03;2020-11-24
