client_id;inn;case_id;side_address;side_inn;side_ogrn;side_name;side_category;side_type;side_id;side_legalstatus;side_shortname;side_opponenttype;effective_date;expiration_date
slx-2;7700000002;case-02;Адрес 1;7700000002;ОГРН 2;Полное имя компании 2;;0;;попадает;Сокращенное имя компании 1;;2020-12-09;2999-12-31
slx-4;7700000004;case-04;Адрес 4;7700000004;ОГРН 4;Полное имя компании 4;;0;;попадает;Сокращенное имя компании 1;;2020-12-09;2999-12-31
slx-9;7700000009;case-09;Адрес 94;7708683999;ОГРН 94;Публичное акционерное общество ВТБ;;0;;попадает;ПАО ВТБ;;2020-12-09;2999-12-31
slx-9;7700000009;case-09;Адрес 9;7700000009;ОГРН 9;Полное имя компании 3;;1;;не попадает;Сокращенное имя компании 2;;2020-12-09;2999-12-31
slx-13;7700000013;case-13;Адрес 4;7700000013;ОГРН 13;Полное имя компании 4;;0;;попадает;Сокращенное имя компании 3;;2020-12-09;2999-12-31
slx-14;7700000014;case-14;Адрес 14;7700000014;ОГРН 14;Полное имя компании 5;;1;;не попадает;Сокращенное имя компании 4;;2020-12-09;2999-12-31
slx-14;7700000014;case-14;Адрес 44;77111111111;ОГРН 44;Полное имя компании 6;;0;;не попадает;Сокращенное имя компании 4;;2020-12-09;2999-12-31
slx-16;7700000016;case-16;Адрес 94;7708683999;ОГРН 94;Публичное акционерное общество ВТБ;;0;;попадает;ПАО ВТБ;;2020-12-09;2999-12-31
slx-17;7700000017;case-17;Адрес 77;7711288344;ОГРН 77;Полное имя компании 7;;0;;не попадает;Сокращенное имя компании 6;;2020-12-09;2999-12-31
slx-17;7700000017;case-17;Адрес 17;7700000017;ОГРН 17;Полное имя компании 8;;1;;не попадает;Сокращенное имя компании 7;;2020-12-09;2999-12-31
slx-2;7700000002;case-02;Адрес 95;7722222222;ОГРН 95;Полное имя компании 9;;2;;не попадает;Сокращенное имя компании 8;;2020-12-09;2999-12-31
slx-9;7700000009;case-09;Адрес 99;7733333333;ОГРН 99;Полное имя компании 10;;2;;не попадает;Сокращенное имя компании 9;;2020-12-09;2999-12-31
